Year,Mount,Day,Hour,Total amount of precipitation,Vapor_Pressure,Relative_Humudity,Amount of cloudiness,Actual_Pressure,Temperature
2016,1,1,0,0,6,99,7,1020.2,-0.7
2016,1,1,1,0,5.6,99,7,1019.7,-1.3
2016,1,1,2,0,5.6,99,7,1019.4,-1
2016,1,1,3,0,5.6,94,7,1019.6,-0.7
2016,1,1,4,0,5.6,91,7,1019.6,-0.7
2016,1,1,5,0,5.5,92,7,1019.8,-0.5
2016,1,1,6,0,5.6,94,7,1020.1,-0.6
2016,1,1,7,0,5.3,86,6,1020.2,0.1
2016,1,1,8,0,5.3,82,4,1020.7,1.4
2016,1,1,9,0,5.1,73,4,1020.6,3.5
2016,1,1,10,0,5.1,69,5,1020.4,2.1
2016,1,1,11,0,4.8,71,5,1020.3,1.8
2016,1,1,12,0,4.2,73,3,1020.1,0.4
2016,1,1,13,0,4.3,65,2,1020.2,0.4
2016,1,1,14,0,2.9,46,2,1020.2,-0.2
2016,1,1,15,0,2.9,54,1,1020.2,-1.4
2016,1,1,16,0,2.4,49,0,1020.2,-2.1
2016,1,1,17,0,2.8,46,0,1019.8,-2
2016,1,1,18,0,2.6,48,0,1019.5,-2.3
2016,1,1,19,0,3.1,61,0,1019.4,-2.9
2016,1,1,20,0,3.3,63,0,1019.3,-2.6
2016,1,1,21,0,4,77,0,1019.2,-3
2016,1,1,22,0,3.2,70,0,1019,-3
2016,1,1,23,0,3,65,0,1018.7,-3.5
2016,1,2,0,0,2.5,60,0,1018.7,-3.7
2016,1,2,1,0,2.8,57,0,1018.8,-3.9
2016,1,2,2,0,2.8,56,0,1018.4,-3.6
2016,1,2,3,0,3.9,75,0,1018.3,-3.5
2016,1,2,4,0,3.5,68,0,1018.6,-2.9
2016,1,2,5,0,4,79,2,1018.8,-3
2016,1,2,6,0,4.4,84,4,1019,-2.2
2016,1,2,7,0,3.8,68,2,1019.1,-0.9
2016,1,2,8,0,4.4,67,3,1019.7,1.3
